id,microbe_level,diet_type,tissue,nat_lab,sample_wt_g,conc_sample_ngperg,num_larvae,avg_ba_conc,high_ba_conc,low_ba_conc,avg_sa_conc,high_sa_conc,low_sa_conc,avg_iaa_conc,high_iaa_conc,low_iaa_conc
AI2F,axenic,indole,fat,nat,0.0446,1179.015366,20,256.283589,389.7874503,122.7797278,320.9221561,359.4082394,282.4360729,12964.84685,13112.80686,12816.88683
AI2F,axenic,indole,fat,lab,0.0446,18718.75039,20,17796.01861,17929.52248,17662.51475,202650.9197,202689.4058,202612.4336,2803.698125,2951.658138,2655.738112
AI2H,axenic,indole,hem,nat,0.1062,508.5611925,20,121.0486008,177.1151941,64.98200743,33.63779532,49.80050072,17.47508992,4519.083688,4581.22132,4456.946055
AI2H,axenic,indole,hem,lab,0.1062,4710.591184,20,4323.078592,4379.145186,4267.011999,197.4793958,213.6421012,181.3166904,81143.54981,81205.68744,81081.41218
AS2,axenic,salicylic,sal,nat,0.0728,572.6079098,20,7.307947695,89.09740117,-74.48150578,11280.39002,11303.96803,11256.81201,-30.38928117,60.25655105,-121.0351134
AS2,axenic,salicylic,sal,lab,0.0728,19314.08243,20,18748.78247,18830.57192,18666.99301,1344.752445,1368.330458,1321.174433,145230.5545,145321.2003,145139.9086
AS2F,axenic,salicylic,fat,nat,0.0484,1141.785373,20,291.4994794,414.5216325,168.4773262,8857.919112,8893.38356,8822.454663,-17.88373884,118.4595791,-154.2270567
AS2F,axenic,salicylic,fat,lab,0.0484,26017.12396,20,25166.83807,25289.86022,25043.81592,2250.875387,2286.339836,2215.410939,393040.954,393177.2974,392904.6107
AS2H,axenic,salicylic,hem,nat,0.0882,659.627096,20,193.0303018,260.5390571,125.5215466,3948.262188,3967.723405,3928.800971,-48.11027565,26.70850651,-122.9290578
AS2H,axenic,salicylic,hem,lab,0.0882,6565.487508,20,6098.890713,6166.399469,6031.381958,84798.47123,84817.93245,84779.01002,73967.04455,74041.86334,73892.22577
B2,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B2,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B2F,blank,blank,blank,nat,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
B2F,blank,blank,blank,lab,0,#DIV/0!,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!
